"","x"
"1",335.110007614257
"2",446.642790691869
"3",420.554764135664
"4",337.604864155974
"5",409.819948908897
"6",345.657621518649
"7",435.433047313832
"8",407.268431564132
"9",428.706518015408
"10",423.748376973135
"11",407.75550901326
"12",421.698968425768
"13",409.325039137313
"14",426.579846873314
"15",421.211030662449
"16",425.300995933126
"17",424.357016834255
"18",421.304201295371
"19",423.966495051871
"20",421.604349631293
"21",424.896239575825
"22",423.873487712065
"23",424.652742591349
"24",424.47295728089
"25",423.891248124878
"26",424.398568370012
"27",423.948460345871
"28",424.575659913363
"29",424.380850726468
"30",424.529284135419
"31",424.495040933041
"32",424.384234067766
"33",424.480871844506
"34",424.395132839562
"35",424.514602599562
"36",424.477497071369
"37",424.505769513098
"38",424.499247225539
"39",424.478141515388
"40",424.496548429502
"41",424.480217462024
"42",424.502973134192
"43",424.495905632757
"44",424.501290699318
"45",424.500048399157
"46",424.496028380758
"47",424.499534358874
"48",424.496423788593
"49",424.50075807325
"50",424.499411925185
"51",424.500437619837
"52",424.50020099881
"53",424.499435305035
"54",424.500103089488
"55",424.499510618485
"56",424.500336170509
"57",424.500079769525
"58",424.500275133717
"59",424.500230064484
"60",424.500084222688
"61",424.500211415683
"62",424.500098567652
"63",424.500255810652
"64",424.500206973927
"65",424.500244184968
"66",424.500235600626
"67",424.500207822122
"68",424.500232048587
"69",424.500210554409
"70",424.500240504501
"71",424.500231202565
"72",424.500238290156
"73",424.500236655095
"74",424.50023136412
"75",424.500235978538
"76",424.50023188454
"77",424.500237589137
"78",424.500235817396
"79",424.50023716737
"80",424.50023685594
"81",424.500235848168
"82",424.500236727076
"83",424.500235947292
"84",424.500237033847
"85",424.500236696384
"86",424.500236953513
"87",424.500236894195
"88",424.500236702245
"89",424.50023686965
"90",424.500236721125
"91",424.500236928081
"92",424.500236863804
"93",424.50023691278
"94",424.500236901482
"95",424.500236864921
"96",424.500236896806
"97",424.500236868517
"98",424.500236907936
"99",424.500236895693
"100",424.500236905021
"101",424.500236902869
"102",424.500236895906
"103",424.500236901979
"104",424.500236896591
"105",424.500236904099
"106",424.500236901767
"107",424.500236903544
"108",424.500236903134
"109",424.500236901807
"110",424.500236902964
"111",424.500236901938
"112",424.500236903368
"113",424.500236902924
"114",424.500236903262
"115",424.500236903184
"116",424.500236902931
"117",424.500236903152
"118",424.500236902956
"119",424.500236903229
"120",424.500236903144
"121",424.500236903208
"122",424.500236903194
"123",424.500236903146
"124",424.500236903188
"125",424.50023690315
"126",424.500236903202
"127",424.500236903186
"128",424.500236903198
"129",424.500236903196
"130",424.500236903186
"131",424.500236903194
"132",424.500236903187
"133",424.500236903197
"134",424.500236903194
"135",424.500236903196
"136",424.500236903196
"137",424.500236903194
"138",424.500236903196
"139",424.500236903194
"140",424.500236903196
"141",424.500236903196
"142",424.500236903196
"143",424.500236903196
"144",424.500236903196
"145",424.500236903196
"146",424.500236903196
"147",424.500236903196
"148",424.500236903196
"149",424.500236903196
"150",424.500236903196
"151",424.500236903196
"152",424.500236903196
"153",424.500236903196
"154",424.500236903196
"155",424.500236903196
"156",424.500236903196
"157",424.500236903196
"158",424.500236903196
"159",424.500236903196
"160",424.500236903196
"161",424.500236903196
"162",424.500236903196
"163",424.500236903196
"164",424.500236903196
"165",424.500236903196
"166",424.500236903196
"167",424.500236903196
"168",424.500236903196
