"","x"
"1",9417010.82301939
"2",7893327.46335855
"3",6436805.32566743
"4",5756614.16228763
"5",5570785.17315229
"6",7479483.74065434
"7",8522769.5415976
"8",9080593.07685832
"9",7909744.70574955
"10",5661777.73712673
"11",5568654.46645786
"12",6919607.66263904
